"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-2.13762041449782,4.94960087299586,-10.1800615995579,2.15463154682022e-22,5.99328590836382e-21,39.9685924256118,"ENSG00000153292"
-1.31946937061076,2.48686533485361,-10.1657591881724,2.43748908482278e-22,6.70292161988534e-21,39.8468076250796,"ENSG00000186493"
-1.30693368350266,5.77867638289899,-10.1398934735768,3.04576261719554e-22,8.32824369386481e-21,39.6268566604224,"ENSG00000133392"
-1.09483150122438,2.02757250828178,-10.1267016938836,3.41175899881829e-22,9.26350069735326e-21,39.5148260790946,"ENSG00000008226"
-1.77084763042546,9.78350972115785,-10.1094112850604,3.95829305986377e-22,1.0672485555549e-20,39.36813841667,"ENSG00000086548"
-1.65196667877118,3.54002898273418,-10.1026596307392,4.19455535732075e-22,1.12780450859144e-20,39.310905373121,"ENSG00000103316"
-1.7467152122169,3.93113800158345,-10.0912678179632,4.62532701376722e-22,1.24017783398263e-20,39.2143973210185,"ENSG00000170561"
-1.20262703458165,4.17596796434637,-10.0781779964387,5.17473317182628e-22,1.38173952593571e-20,39.1035960000452,"ENSG00000169302"
-1.40100363221582,2.03024851240968,-10.0670733863188,5.69124996091841e-22,1.51547168380819e-20,39.0096759114238,"ENSG00000114248"
-1.49813095204297,7.1771302865901,-10.065825679827,5.7523912479857e-22,1.52754433524807e-20,38.9991275364149,"ENSG00000167972"
-1.57552205457271,8.11678479667274,-10.0641128945314,5.83738552448679e-22,1.54798816130835e-20,38.9846487425196,"ENSG00000165272"
-1.05451429858512,3.83880447408173,-10.0636051551375,5.86281990685534e-22,1.55050474062703e-20,38.9803569614339,"ENSG00000196159"
-1.03936342052171,1.55221145150931,-10.0623546216053,5.92593326749828e-22,1.56502926130159e-20,38.9697871777775,"ENSG00000144285"
-1.36156267121014,3.60451296775775,-10.0455913380937,6.83998364184461e-22,1.79417318540217e-20,38.8281870084756,"ENSG00000101938"
-1.23034300890251,3.12149549445212,-10.0408018110491,7.12593587859736e-22,1.86664759356429e-20,38.7877593594048,"ENSG00000213088"
-1.13328098120533,3.72688299705713,-10.0151510853779,8.87165047941047e-22,2.30519821327908e-20,38.5714705512105,"ENSG00000244731"
-1.00312389590159,1.60341174696528,-10.0111028781361,9.18349794378427e-22,2.37664501002995e-20,38.5373704510717,"ENSG00000248890"
-1.18592378768066,1.54965034862583,-9.99379942736677,1.06437199978624e-21,2.72897075595062e-20,38.39172147745,"ENSG00000221986"
-1.0849464610556,7.61595669944164,-9.99356086743699,1.06653830070237e-21,2.73090310320242e-20,38.3897146483363,"ENSG00000090339"
